Date,Open,High,Low,Close,Adj Close,Volume
2007-04-12,46.941.000.000,47.389.000.000,46.506.000.000,47.347.000.000,47.347.000.000,117205600
2007-04-13,47.347.000.000,47.968.000.000,47.267.000.000,47.926.000.000,47.926.000.000,122908200
2007-04-16,47.925.000.000,49.022.000.000,47.925.000.000,48.921.000.000,48.921.000.000,155061700
2007-04-17,48.923.000.000,49.156.000.000,48.631.000.000,48.755.000.000,48.755.000.000,140107200
2007-04-18,48.760.000.000,49.339.000.000,48.456.000.000,48.710.000.000,48.710.000.000,190930900
2007-04-19,48.705.000.000,48.837.000.000,47.917.000.000,48.762.000.000,48.762.000.000,168338300
2007-04-20,48.763.000.000,49.459.000.000,48.763.000.000,49.408.000.000,49.408.000.000,155979900
2007-04-23,49.409.000.000,49.477.000.000,49.097.000.000,49.162.000.000,49.162.000.000,84795800
2007-04-24,49.162.000.000,49.259.000.000,48.602.000.000,49.071.000.000,49.071.000.000,85154000
2007-04-25,49.072.000.000,49.816.000.000,49.072.000.000,49.676.000.000,49.676.000.000,139457700
2007-04-26,49.678.000.000,49.856.000.000,49.060.000.000,49.068.000.000,49.068.000.000,130519800
2007-04-27,49.067.000.000,49.232.000.000,48.311.000.000,49.230.000.000,49.230.000.000,97450000
2007-04-30,49.222.000.000,49.482.000.000,48.744.000.000,48.956.000.000,48.956.000.000,155714300
2007-05-02,48.955.000.000,49.630.000.000,48.953.000.000,49.472.000.000,49.472.000.000,82439200
2007-05-03,49.472.000.000,50.318.000.000,49.472.000.000,50.218.000.000,50.218.000.000,61496600
2007-05-04,50.218.000.000,50.898.000.000,50.218.000.000,50.598.000.000,50.598.000.000,48752600
2007-05-07,50.591.000.000,50.618.000.000,50.154.000.000,50.282.000.000,50.282.000.000,30581600
2007-05-08,50.276.000.000,50.369.000.000,49.526.000.000,50.278.000.000,50.278.000.000,58598200
2007-05-09,50.277.000.000,51.369.000.000,50.149.000.000,51.300.000.000,51.300.000.000,129546400
2007-05-10,51.298.000.000,51.298.000.000,50.205.000.000,50.235.000.000,50.235.000.000,183381300
2007-05-11,50.235.000.000,51.083.000.000,50.235.000.000,50.902.000.000,50.902.000.000,146071500
2007-05-14,50.910.000.000,51.066.000.000,50.298.000.000,50.511.000.000,50.511.000.000,82391800
2007-05-15,50.511.000.000,51.042.000.000,50.370.000.000,50.518.000.000,50.518.000.000,88112800
2007-05-16,50.518.000.000,51.738.000.000,50.518.000.000,51.738.000.000,51.738.000.000,154949100
2007-05-17,51.741.000.000,51.959.000.000,51.374.000.000,51.631.000.000,51.631.000.000,100343900
2007-05-18,51.633.000.000,52.088.000.000,51.499.000.000,52.078.000.000,52.078.000.000,103165200
2007-05-21,52.078.000.000,52.691.000.000,52.078.000.000,52.423.000.000,52.423.000.000,128956500
2007-05-22,52.424.000.000,52.561.000.000,52.039.000.000,52.208.000.000,52.208.000.000,54601200
2007-05-23,52.210.000.000,52.505.000.000,51.670.000.000,51.813.000.000,51.813.000.000,177385300
2007-05-24,51.813.000.000,51.891.000.000,50.214.000.000,50.531.000.000,50.531.000.000,104114900
2007-05-25,50.541.000.000,51.633.000.000,50.541.000.000,51.618.000.000,51.618.000.000,93920400
2007-05-28,51.616.000.000,52.209.000.000,51.616.000.000,52.120.000.000,52.120.000.000,58686200
2007-05-29,52.121.000.000,52.545.000.000,51.271.000.000,51.713.000.000,51.713.000.000,158100700
2007-05-30,51.706.000.000,52.595.000.000,50.607.000.000,52.528.000.000,52.528.000.000,140483000
2007-05-31,52.536.000.000,52.877.000.000,52.098.000.000,52.268.000.000,52.268.000.000,125166600
2007-06-01,52.271.000.000,53.423.000.000,52.271.000.000,53.423.000.000,53.423.000.000,148685200
2007-06-04,53.423.000.000,53.423.000.000,52.651.000.000,53.243.000.000,53.243.000.000,90055800
2007-06-05,53.245.000.000,53.271.000.000,52.673.000.000,53.162.000.000,53.162.000.000,89869200
2007-06-06,53.162.000.000,53.162.000.000,51.869.000.000,52.049.000.000,52.049.000.000,92944800
2007-06-08,52.045.000.000,52.500.000.000,50.885.000.000,52.330.000.000,52.330.000.000,84325800
2007-06-11,52.324.000.000,52.952.000.000,52.184.000.000,52.777.000.000,52.777.000.000,81569800
2007-06-12,52.776.000.000,52.776.000.000,51.643.000.000,51.797.000.000,51.797.000.000,75774200
2007-06-13,51.799.000.000,53.226.000.000,51.799.000.000,52.994.000.000,52.994.000.000,175650400
2007-06-14,53.011.000.000,53.798.000.000,53.009.000.000,53.713.000.000,53.713.000.000,97862600
2007-06-15,53.723.000.000,54.726.000.000,53.723.000.000,54.519.000.000,54.519.000.000,123495800
2007-06-18,54.519.000.000,55.000.000.000,54.355.000.000,54.730.000.000,54.730.000.000,115684800
2007-06-19,54.730.000.000,54.797.000.000,54.450.000.000,54.644.000.000,54.644.000.000,99302200
2007-06-20,54.644.000.000,55.003.000.000,54.029.000.000,54.029.000.000,54.029.000.000,120526300
2007-06-21,54.030.000.000,54.844.000.000,53.911.000.000,54.657.000.000,54.657.000.000,103576000
2007-06-22,54.644.000.000,54.644.000.000,53.952.000.000,54.267.000.000,54.267.000.000,94636800
2007-06-25,54.270.000.000,54.605.000.000,53.605.000.000,54.042.000.000,54.042.000.000,84710200
2007-06-26,54.045.000.000,54.413.000.000,53.842.000.000,53.852.000.000,53.852.000.000,68430600
2007-06-27,53.852.000.000,54.164.000.000,53.202.000.000,54.143.000.000,54.143.000.000,86424600
2007-06-28,54.154.000.000,54.648.000.000,54.147.000.000,54.147.000.000,54.147.000.000,89190200
2007-06-29,54.150.000.000,54.783.000.000,53.958.000.000,54.392.000.000,54.392.000.000,85396000
2007-07-02,54.396.000.000,55.386.000.000,54.396.000.000,55.371.000.000,55.371.000.000,67223800
2007-07-03,55.371.000.000,55.783.000.000,55.259.000.000,55.700.000.000,55.700.000.000,33761000
2007-07-04,55.698.000.000,56.000.000.000,55.598.000.000,55.696.000.000,55.696.000.000,23831400
2007-07-05,55.696.000.000,55.932.000.000,55.345.000.000,55.932.000.000,55.932.000.000,54025000
2007-07-06,55.932.000.000,56.444.000.000,55.932.000.000,56.444.000.000,56.444.000.000,39105400
2007-07-10,56.444.000.000,56.544.000.000,55.678.000.000,55.883.000.000,55.883.000.000,50772400
2007-07-11,55.882.000.000,56.495.000.000,55.628.000.000,56.356.000.000,56.356.000.000,42577400
2007-07-12,56.380.000.000,57.676.000.000,56.378.000.000,57.613.000.000,57.613.000.000,43539800
2007-07-13,57.613.000.000,57.983.000.000,57.327.000.000,57.644.000.000,57.644.000.000,49967000
2007-07-16,57.644.000.000,57.666.000.000,57.035.000.000,57.374.000.000,57.374.000.000,51594200
2007-07-17,57.376.000.000,57.799.000.000,57.307.000.000,57.660.000.000,57.660.000.000,0
